item_id,language,prompt_id,gen_model,domain,question,answer,h1_ling,h1_task,h1_halluc,h2_ling,h2_task,h2_halluc,h3_ling,h3_task,h3_halluc
hindi|495ee91a-0436-4931-b6a1-4de0da5d78f6|GenVRadmin/AryaBhatta-GemmaOrca-Merged,hindi,495ee91a-0436-4931-b6a1-4de0da5d78f6,GenVRadmin/AryaBhatta-GemmaOrca-Merged,culture,होली अधिकतर उत्तर प्रदेश के ब्रज क्षेत्र में मनाई जाती है। होली उत्सव से जुड़े ऐतिहासिक मूल और पारंपरिक अनुष्ठानों पर चर्चा करें।,"होली, जिसे रंगोली या रंगोली के नाम से भी जाना जाता है, उत्तर प्रदेश के ब्रज क्षेत्र में एक लोकप्रिय त्योहार है। यह उत्सव हिंदू धर्म में एक महत्वपूर्ण त्योहार है और इसे रंगों के उत्सव के रूप में मनाया जाता है। होली के उत्सव से जुड़े ऐतिहासिक मूल और पारंपरिक अनुष्ठानों को समझने से हमें हिंदू संस्कृति और धार्मिक परंपराओं के बारे में बहुत कुछ पता चलता है।

होली उत्सव के ऐतिहासिक मूल को भगवान कृष्ण और राधा के बीच प्रेम की कहानी से जोड़ा जाता है। यह माना जाता है कि कृष्ण और राधा के बीच प्रेम की कहानी होली उत्सव के पीछे का आधार है। यह कहानी राधा और कृष्ण के बीच प्रेम की कहानी है, जो एक-दूसरे के लिए गहरी भावनाओं को दर्शाती है। यह कहानी कृष्ण और राधा के बीच प्रेम की कहानी है, जो एक-दूसरे के लिए गहरी भावनाओं को दर्शाती है।

होली उत्सव के पारंपरिक अनुष्ठानों में रंगों के साथ खेलना शामिल है। यह उत्सव रंगों के उत्सव के रूप में मनाया जाता है, जिसमें लोग एक-दूसरे पर रंगीन पाउडर फेंकते हैं। यह खेलने का अनुष्ठान कृष्ण और राधा के बीच प्रेम की कहानी को दर्शाता है। यह उत्सव रंगों के उत्सव के रूप में मनाया जाता है, जिसमें लोग एक-दूसरे पर रंगीन पाउडर फेंकते हैं।

होली उत्सव के दौरान, लोग अपने घरों को रंगीन पौधों और फूलों से सजाते हैं। यह उत्सव रंगों के उत्सव के रूप में मनाया जाता है, जिसमें लोग अपने घरों को रंगीन पौधों और फूलों से सजाते हैं। यह उत्सव रंगों के उत्सव के रूप में मनाया जाता है, जिसमें लोग अपने घरों को रंगीन पौधों और फूलों से सजाते हैं।

होली उत्सव के दौरान, लोग अपने घरों को रंगीन पौधों और फूलों से सजाते हैं। यह उत्सव रंगों के उत्सव के रूप में मनाया जाता है, जिसमें लोग अपने घरों",2,1,1,2,1,1,1,1,1
hindi|f6fe17bd-76e9-4048-8fc6-be7b9a5a43c2|meta-llama/Meta-Llama-3-70B-Instruct,hindi,f6fe17bd-76e9-4048-8fc6-be7b9a5a43c2,meta-llama/Meta-Llama-3-70B-Instruct,health,पीठ और गर्दन के दर्द को रोकने के लिए मैं अपनी मुद्रा में सुधार कैसे कर सकता हूं?,"आपकी मुद्रा में सुधार करके पीठ और गर्दन के दर्द को रोका जा सकता है। इसके लिए निम्नलिखित टिप्स फॉलो करें:

* अपने कंधों को आराम से रखें और उन्हें ऊपर न उठाएं।
* अपनी गर्दन को सीधा रखें और उसे आगे न झुकाएं।
* अपने सिर को सीधा रखें और उसे एक तरफ न झुकाएं।
* अपने पीठ को सीधा रखें और उसे आगे न झुकाएं।
* अपने पैरों को आराम से रखें और उन्हें एक दूसरे से सटाकर न बैठें।
* जब आप कंप्यूटर या मोबाइल पर काम कर रहे हों, तो अपनी स्क्रीन को आंखों के स्तर पर रखें और अपनी गर्दन को न झुकाएं।
* अपने शरीर के वजन को समान रूप से बांटें और किसी एक तरफ न झुकें।
* नियमित रूप से व्यायाम करें और स्ट्रेचिंग एक्सरसाइज करें जिससे आपकी मुद्रा में सुधार हो सके।",2,1,1,2,2,0,2,2,0
hindi|d907e40c-bb5b-4501-8dcb-88aa94030d8e|meta-llama/Meta-Llama-3-70B-Instruct,hindi,d907e40c-bb5b-4501-8dcb-88aa94030d8e,meta-llama/Meta-Llama-3-70B-Instruct,finance,मेरी नियमित नौकरी के बाहर अतिरिक्त आय अर्जित करने के कुछ तरीके क्या हैं?,"आपके प्रश्न का उत्तर देते हुए, मैं आपको कुछ तरीके बताता हूँ जिनसे आप अपनी नियमित नौकरी के बाहर अतिरिक्त आय अर्जित कर सकते हैं:

1. ऑनलाइन ट्यूशन: अगर आप किसी विषय में अच्छे हैं, तो आप ऑनलाइन ट्यूशन दे सकते हैं। इसके लिए आप ऑनलाइन प्लेटफॉर्म जैसे टीचर्सपे या विडियो कॉन्फ्रेंसिंग टूल का उपयोग कर सकते हैं।

2. फ्रीलांसिंग: आप अपने स्किल्स के आधार पर फ्रीलांसिंग का काम कर सकते हैं। इसके लिए आप फ्रीलांसिंग वेबसाइट जैसे फ्रीलांसर या अपवर्क पर अपना प्रोफाइल बना सकते हैं।

3. ब्लॉगिंग: अगर आप लिखने में अच्छे हैं, तो आप ब्लॉगिंग कर सकते हैं। इसके लिए आप अपना ब्लॉग बना सकते हैं और विज्ञापन या स्पॉन्सरशिप से पैसे कमा सकते हैं।

4. ऑनलाइन सर्वे: आप ऑनलाइन सर्वे साइट पर जाकर सर्वे में भाग ले सकते हैं और पैसे कमा सकते हैं।

5. सेलिंग प्रोडक्ट्स: अगर आप कोई प्रोडक्ट बनाते हैं या किसी कंपनी के प्रोडक्ट को बेच सकते हैं, तो आप ऑनलाइन मार्केटप्लेस जैसे अमेज़न या फ्लिपकार्ट पर अपना स्टोर बना सकते हैं।

इन तरीकों से आप अपनी नियमित नौकरी के बाहर अतिरिक्त आय अर्जित कर सकते हैं।",2,2,0,2,2,0,2,2,0
hindi|222d3690-01ba-4d51-b167-922a35c9652f|Telugu-LLM-Labs/Indic-gemma-7b-finetuned-sft-Navarasa-2.0,hindi,222d3690-01ba-4d51-b167-922a35c9652f,Telugu-LLM-Labs/Indic-gemma-7b-finetuned-sft-Navarasa-2.0,health,मैं अपने दैनिक भोजन में अधिक फलों और सब्जियों को कैसे शामिल कर सकता हूं?,"आप अपने दैनिक भोजन में अधिक फलों और सब्जियों को शामिल करने के लिए कुछ सरल चरणों का पालन कर सकते हैं। सबसे पहले, आप अपने भोजन की योजना बना सकते हैं और अपनी खरीदारी की सूची में अधिक फलों और सब्जियों को शामिल कर सकते हैं। आप अपने भोजन में अधिक सब्जियों और फलों को शामिल करने के लिए विभिन्न प्रकार के व्यंजनों का उपयोग कर सकते हैं। उदाहरण के लिए, आप एक सलाद में विभिन्न प्रकार के फलों और सब्जियों को शामिल कर सकते हैं या एक सब्जी या फलों की कढ़ी बना सकते हैं। इसके अतिरिक्त, आप अपने भोजन में अधिक सब्जियों और फलों को शामिल करने के लिए विभिन्न प्रकार के मसालों और मसालों का उपयोग कर सकते हैं। आप अपने भोजन में अधिक सब्जियों और फलों को शामिल करने के लिए विभिन्न प्रकार के मसालों और मसालों का उपयोग कर सकते हैं। आप अपने भोजन में अधिक सब्जियों और फलों को शामिल करने के लिए विभिन्न प्रकार के मसालों और मसालों का उपयोग कर सकते हैं। आप अपने भोजन में अधिक सब्जियों और फलों को शामिल करने के लिए विभिन्न प्रकार के मसालों और मसालों का उपयोग कर सकते हैं। आप अपने भोजन में अधिक सब्जियों और फलों को शामिल करने के लिए विभिन्न प्रकार के मसालों और मसालों का उपयोग कर सकते हैं। आप अपने भोजन में अधिक सब्जियों और फलों को शामिल करने के लिए विभिन्न प्रकार के मसालों और मसालों का उपयोग कर सकते हैं। आप अपने भोजन में अधिक सब्जियों और फलों को शामिल करने के लिए विभिन्न प्रकार के मसालों और मसालों का उपयोग कर सकते हैं। आप अपने भोजन में अधिक सब्जियों और फलों को शामिल करने के लिए विभिन्न प्रकार के मसालों और मसालों का उपयोग कर सकते हैं। आप अपने भोजन में अधिक सब्जियों और फलों को",2,1,1,2,1,1,1,1,1
hindi|6599053c-09d4-48d4-b10a-8751c938409a|meta-llama/Meta-Llama-3-8B-Instruct,hindi,6599053c-09d4-48d4-b10a-8751c938409a,meta-llama/Meta-Llama-3-8B-Instruct,culture,किस तरह से 'साड़ी प्रथा' (विधवा आत्मदहन) ने पूरे इतिहास में भारतीय समाज की सांस्कृतिक पहचान और सामाजिक गतिशीलता को प्रभावित किया है?,"साड़ी प्रथा का प्रभाव भारतीय समाज की सांस्कृतिक पहचान और सामाजिक गतिशीलता पर बहुत प्रभावशाली रहा है। यह प्रथा विधवाओं के लिए आत्मदहन की मांग करती थी, जिसके कारण उन्हें अपना जीवन समाप्त करना पड़ता था। इस प्रथा ने विधवाओं के साथ होने वाले संकट और पीड़ा को बढ़ा दिया है। इसके अलावा, यह प्रथा समाज की संस्कृति और सामाजिक गतिशीलता को भी प्रभावित करती थी। यह प्रथा ने लोगों के दिमाग में भय और आतंक का संस्कार बना दिया है, जिसके कारण लोग अपने बच्चों को शादी से पहले ही मर जाने के लिए तैयार हो जाते थे। इस प्रथा ने समाज की संस्कृति और सामाजिक गतिशीलता को नष्ट कर दिया है।",2,2,0,2,2,0,1,1,1
hindi|19fdcc53-7683-44d9-b4bb-3ba19c19154d|gpt-4,hindi,19fdcc53-7683-44d9-b4bb-3ba19c19154d,gpt-4,finance,मैं रोजमर्रा के खर्चों पर पैसे कैसे बचा सकता हूं?,"1. अपनी आमदनी का एक हिस्सा बचत में डालें: पैसे बचाने के लिए सबसे बेहतर तरीका अपनी आय का कुछ हिस्सा बचत में डालना है। 

2. बजट बनाएं: खर्च करने से पहले एक ठोस बजट तैयार करें और इसका पालन करें। 

3. बिलों की चेकिंग: इलेक्ट्रिक, पानी, गैस, इंटरनेट, डाटा प्लान जैसे बिलों को रीचेक करें और उन पर बचत करने के तरीके ढूंढें। 

4. बिना जरूरत की खरीददारी से बचें: उन चीजों को ना खरीदें जिनकी आपको सचमुच जरूरत नहीं है। 

5. आवश्यक वस्त्रों की खरीदारी: महंगे और आवश्यकता से अधिक कपड़ों की खरीदारी से बचें। 

6. खुद का भोजन बनाएं: बाहर का खाना कम खाएं और पैसे बचाएं। 

7. सार्वजनिक परिवहन का उपयोग करें: जब भी संभव हो, सार्वजनिक परिवहन का इस्तेमाल करें या पैदल चलें।",2,2,0,2,2,0,2,2,0
hindi|d907e40c-bb5b-4501-8dcb-88aa94030d8e|Telugu-LLM-Labs/Indic-gemma-7b-finetuned-sft-Navarasa-2.0,hindi,d907e40c-bb5b-4501-8dcb-88aa94030d8e,Telugu-LLM-Labs/Indic-gemma-7b-finetuned-sft-Navarasa-2.0,finance,मेरी नियमित नौकरी के बाहर अतिरिक्त आय अर्जित करने के कुछ तरीके क्या हैं?,"आप अपनी नियमित नौकरी के बाहर अतिरिक्त आय अर्जित करने के कई तरीके हैं। सबसे पहले, आप एक फ्रीलान्सर बन सकते हैं और अपनी कौशल और विशेषज्ञता को विभिन्न ग्राहकों को प्रदान कर सकते हैं। आप ऑनलाइन प्लेटफार्मों का भी उपयोग कर सकते हैं जैसे कि फाइवर, फ्रीलांसर, और गिग इकॉनॉमी।

दूसरी बात, आप एक छोटे व्यवसाय या स्टार्टअप शुरू कर सकते हैं। आप अपने उत्पादों या सेवाओं को ऑनलाइन बेच सकते हैं और अपने ग्राहकों तक पहुंचने के लिए सोशल मीडिया का उपयोग कर सकते हैं।

तीसरी बात, आप एक ऑनलाइन स्टोर शुरू कर सकते हैं और अपने उत्पादों या सेवाओं को ऑनलाइन बेच सकते हैं। आप अपने ग्राहकों तक पहुंचने के लिए ई-कॉमर्स प्लेटफार्म का उपयोग कर सकते हैं।

चौथी बात, आप एक ऑनलाइन कोचिंग या ट्यूशन सेवा शुरू कर सकते हैं। आप अपने ग्राहकों तक पहुंचने के लिए ऑनलाइन प्लेटफार्म का उपयोग कर सकते हैं।

पांचवी बात, आप एक ऑनलाइन ब्लॉग या वेबसाइट शुरू कर सकते हैं और अपने ग्राहकों तक पहुंचने के लिए सोशल मीडिया का उपयोग कर सकते हैं। आप अपने ब्लॉग या वेबसाइट पर विज्ञापन और प्रायोजित पोस्ट बेच सकते हैं।

अंत में, आप एक ऑनलाइन स्टोर शुरू कर सकते हैं और अपने उत्पादों या सेवाओं को ऑनलाइन बेच सकते हैं। आप अपने ग्राहकों तक पहुंचने के लिए ई-कॉमर्स प्लेटफार्म का उपयोग कर सकते हैं।",2,2,0,2,1,1,2,1,1
hindi|2ed1fef0-4ab9-4c3f-b378-dfd4bc1e02bf|meta-llama/Meta-Llama-3-70B-Instruct,hindi,2ed1fef0-4ab9-4c3f-b378-dfd4bc1e02bf,meta-llama/Meta-Llama-3-70B-Instruct,culture,हिंदुस्तानी शास्त्रीय संगीत में मियां तानसेन का योगदान बहुत बड़ा है और आज भी संगीतकारों को प्रभावित करता है। तानसेन के संगीत योगदान ने व्यापक सांस्कृतिक गतिशीलता को कैसे प्रभावित किया?,"मियां तानसेन का हिंदुस्तानी शास्त्रीय संगीत में योगदान अत्यंत महत्वपूर्ण है। उनके संगीत ने न केवल संगीतकारों को प्रभावित किया बल्कि व्यापक सांस्कृतिक गतिशीलता को भी प्रभावित किया। तानसेन के संगीत ने मुगल साम्राज्य के दौरान संगीत की एक नई धारा को जन्म दिया जिसने संगीत की दिशा बदल दी। उनके संगीत ने भक्ति आंदोलन को भी प्रभावित किया जिसके तहत संतों और कवियों ने संगीत के माध्यम से जनता को प्रभावित किया।

तानसेन के संगीत ने हिंदुस्तानी शास्त्रीय संगीत के विकास में महत्वपूर्ण योगदान दिया और इसे एक नई ऊंचाई पर पहुंचाया। उनके संगीत ने संगीत के विभिन्न रूपों को जन्म दिया जैसे ख्याल, ठुमरी और दादरा। इनके संगीत ने संगीतकारों को प्रेरित किया और आज भी संगीतकार इनके संगीत से प्रेरित होते हैं। इस प्रकार तानसेन के संगीत ने व्यापक सांस्कृतिक गतिशीलता को प्रभावित किया और हिंदुस्तानी शास्त्रीय संगीत के विकास में महत्वपूर्ण योगदान दिया।",2,2,0,2,1,1,2,1,1
hindi|f1bf6bb5-fb54-41d8-965c-5e9d9ce19936|GenVRadmin/AryaBhatta-GemmaOrca-Merged,hindi,f1bf6bb5-fb54-41d8-965c-5e9d9ce19936,GenVRadmin/AryaBhatta-GemmaOrca-Merged,health,हमारे समग्र स्वास्थ्य के लिए नियमित शारीरिक गतिविधि के क्या लाभ हैं?,"नियमित शारीरिक गतिविधि हमारे समग्र स्वास्थ्य के लिए बहुत लाभदायक होती है। यह हमें स्वस्थ वजन बनाए रखने में मदद करती है, जो दिल की बीमारियों, मधुमेह और अन्य संबंधित समस्याओं के जोखिम को कम करती है। यह हृदय स्वास्थ्य को भी बढ़ावा देती है, जो उच्च रक्तचाप, उच्च कोलेस्ट्रॉल और उच्च रक्त शर्करा जैसी समस्याओं से बचाती है।

शारीरिक गतिविधि से मांसपेशियों की ताकत बढ़ती है, जो हमें अधिक सक्रिय बनाती है। यह हमें ऊर्जा का स्तर बनाए रखने में भी मदद करती है, जो हमें दिनभर सक्रिय रहने में मदद करती है।

शारीरिक गतिविधि से मानसिक स्वास्थ्य भी बेहतर होता है। यह तनाव, चिंता और अवसाद को कम करने में मदद करती है। यह हमें अधिक आत्मविश्वास और आत्मसम्मान भी देता है।

इसके अलावा, नियमित शारीरिक गतिविधि से शरीर में ऑक्सीजन और रक्त की आपूर्ति बढ़ती है, जो हमें अधिक सक्रिय बनाती है। यह हमें अधिक स्वस्थ और ऊर्जावान बनाती है।

इसलिए, नियमित शारीरिक गतिविधि हमारे समग्र स्वास्थ्य के लिए बहुत महत्वपूर्ण है। यह हमें स्वस्थ वजन बनाए रखने, हृदय स्वास्थ्य को बढ़ावा देने, मानसिक स्वास्थ्य को बेहतर बनाने और अधिक सक्रिय रहने में मदद करती है।",2,2,0,2,2,0,2,2,0
hindi|495ee91a-0436-4931-b6a1-4de0da5d78f6|meta-llama/Meta-Llama-3-8B-Instruct,hindi,495ee91a-0436-4931-b6a1-4de0da5d78f6,meta-llama/Meta-Llama-3-8B-Instruct,culture,होली अधिकतर उत्तर प्रदेश के ब्रज क्षेत्र में मनाई जाती है। होली उत्सव से जुड़े ऐतिहासिक मूल और पारंपरिक अनुष्ठानों पर चर्चा करें।,"होली की उत्पत्ति उत्तर प्रदेश के ब्रज क्षेत्र में हुई है। इस क्षेत्र में होली की शुरुआत से लेकर अब तक कई ऐतिहासिक मूल और पारंपरिक अनुष्ठान हुए हैं। सबसे पहले होली का उल्लेख वाल्मीकि रामायण में मिलता है, जहां राम और सीता ने होली की पूजा की थी।

ब्रज क्षेत्र में होली की पूजा का एक प्रमुख रूप लोक नृत्य होली है, जिसमें लोगों ने रंग और पानी का इस्तेमाल करते हुए नृत्य किया जाता है। इस दौरान लोगों के बीच में रंगों की बारिश होती है और हर कोई एक-दूसरे के साथ रंग लगाता है। इस प्रकार के अनुष्ठानों से होली की पूजा को और अधिक संतोषजनक बनाया जाता है।",2,1,1,2,1,1,2,0,1
hindi|19fdcc53-7683-44d9-b4bb-3ba19c19154d|CohereForAI/aya-23-35B,hindi,19fdcc53-7683-44d9-b4bb-3ba19c19154d,CohereForAI/aya-23-35B,finance,मैं रोजमर्रा के खर्चों पर पैसे कैसे बचा सकता हूं?,"यहाँ कुछ सुझाव हैं जो आपको रोजमर्रा के खर्चों पर पैसे बचाने में मदद कर सकते हैं:

- बजट बनाएँ और उस पर अमल करें: अपनी आय और खर्चों का ट्रैक रखें और एक реаlistic बजट सेट करें जिसे आप फॉलो कर सकें।

- स्मार्ट शॉपिंग: सामान खरीदने से पहले कीमतों की तुलना करें, सेल और डिस्काउंट की तलाश करें, और जरूरत के हिसाब से खरीदारी करें।

- कूपन और डील्स का इस्तेमाल करें: कूपन, डील्स और प्रोमो कोड का फायदा उठाएं। कई ऐप्स और वेबसाइट्स ऐसी डील्स ऑफर करती हैं।

- घर से खाना लाएं: बाहर खाने से बचें और अपना खाना घर से लाएं। यह स्वस्थ और सस्ता होता है।

- बिल्स का प्रबंधन करें: अपने बिल्स को ऑटोमेटिक पेमेंट सिस्टम से जोड़ें ताकि देरी या भूलने से जुड़े चार्जेस से बचा जा सके।

- सब्सक्रिप्शन की समीक्षा करें: अपनी सभी सब्सक्रिप्शन सेवाओं की समीक्षा करें और जो आपके लिए जरूरी न हों, उन्हें रद्द कर दें।

- ऊर्जा की बचत: बिजली और पानी की बचत करने की कोशिश करें। LED बल्ब्स का इस्तेमाल करें, जब कमरा खाली हो तो लाइट्स बंद करें, और अप्लायंसेज को पावर सेव मोड पर रखें।

- सार्वजनिक परिवहन का इस्तेमाल करें: जब संभव हो तो कार की बजाय बस, मेट्रो या साइकिल का इस्तेमाल करें।

- कपड़े और सामानों को साझा करें: अगर संभव हो तो अपने दोस्तों या परिवार के साथ कपड़े और सामानों को साझा करें।

- घर पर काम करें: अगर संभव हो तो घर से काम करें, इससे यात्रा के खर्चे और ऑफिस के लंच की लागत बचेगी।",2,2,0,1,1,1,1,1,1
hindi|495ee91a-0436-4931-b6a1-4de0da5d78f6|ai4bharat/Airavata,hindi,495ee91a-0436-4931-b6a1-4de0da5d78f6,ai4bharat/Airavata,culture,होली अधिकतर उत्तर प्रदेश के ब्रज क्षेत्र में मनाई जाती है। होली उत्सव से जुड़े ऐतिहासिक मूल और पारंपरिक अनुष्ठानों पर चर्चा करें।,"होली एक ऐसा त्योहार है जो उत्तर प्रदेश के ब्रज क्षेत्र में मनाया जाता है, जो एक ऐसा क्षेत्र है जो अपनी समृद्ध सांस्कृतिक विरासत और परंपराओं के लिए जाना जाता है। होली के इतिहास का पता प्राचीन भारत में लगाया जा सकता है, जहाँ इसे वसंत के मौसम के दौरान मनाया जाता था। यह त्योहार वसंत के मौसम की शुरुआत का प्रतीक है और इसे रंगों, संगीत और नृत्य के उत्सव के साथ मनाया जाता है। होली के दौरान, लोग अपने घरों और बगीचों में रंगीन रंगोली बनाते हैं, और वे अपने दोस्तों और परिवार के साथ होली के खेल खेलते हैं। होली के दौरान सबसे लोकप्रिय खेलों में से एक ""रंगों का युद्ध"" है, जहाँ दो टीमें एक-दूसरे के रंगों के साथ रंगीन पाउडर फेंकती हैं। होली के दौरान, लोग अपने घरों और बगीचों में रंगीन रंगोली भी बनाते हैं, और वे अपने दोस्तों और परिवार के साथ होली के खेल खेलते हैं। होली के दौरान सबसे लोकप्रिय खेलों में से एक ""रंगों का युद्ध"" है, जहाँ दो टीमें एक-दूसरे के रंगों के साथ रंगीन पाउडर फेंकती हैं। होली के दौरान, लोग अपने घरों और बगीचों में रंगीन रंगोली भी बनाते हैं, और वे अपने दोस्तों और परिवार के साथ होली के खेल खेलते हैं। होली के दौरान सबसे लोकप्रिय खेलों में से एक ""रंगों का युद्ध"" है, जहाँ दो टीमें एक-दूसरे के रंगों के साथ रंगीन पाउडर फेंकती हैं। होली के दौरान, लोग अपने घरों और बगीचों में रंगीन रंगोली भी बनाते हैं, और वे अपने दोस्तों और परिवार के साथ होली के खेल खेलते हैं। होली के दौरान सबसे लोकप्रिय खेलों में से एक ""रंगों का युद्ध"" है, जहाँ दो टीमें एक-दूसरे के रंगों के साथ रंगीन पाउडर फेंकती हैं। होली के दौरान, लोग अपने घरों और बगीचों में रंगीन रंगोली भी बनाते हैं, और वे",2,2,0,1,1,1,2,1,1
hindi|222d3690-01ba-4d51-b167-922a35c9652f|BhabhaAI/Gajendra-v0.1,hindi,222d3690-01ba-4d51-b167-922a35c9652f,BhabhaAI/Gajendra-v0.1,health,मैं अपने दैनिक भोजन में अधिक फलों और सब्जियों को कैसे शामिल कर सकता हूं?,"अपने दैनिक भोजन में अधिक फलों और सब्जियों को शामिल करने के लिए, आप निम्नलिखित चरणों का पालन कर सकते हैंः ।
1. अपने भोजन में अधिक सब्जियाँ शामिल करेंः सब्जियाँ फाइबर, विटामिन और खनिजों का एक बड़ा स्रोत हैं, जो अच्छे स्वास्थ्य के लिए आवश्यक हैं। अपने भोजन में विभिन्न प्रकार की सब्जियाँ जैसे पत्तेदार साग, क्रूसिफेरस सब्जियां, टमाटर, खीरे और बेल मिर्च शामिल करने का प्रयास करें। 2. अपने भोजन में अधिक फल शामिल करें-फल फाइबर, विटामिन और एंटीऑक्सीडेंट का एक अच्छा स्रोत हैं। अपने भोजन में विभिन्न प्रकार के फल जैसे सेब, संतरे, केले और जामुन शामिल करने का प्रयास करें। 3. अपने भोजन में अधिक पानी शामिल करेंः अपने भोजन में अधिक पानी शामिल करने से आपको भरा हुआ और संतुष्ट महसूस करने में मदद मिल सकती है। अपने भोजन में सूप, स्ट्यू और पानी में पके फल जैसे तरल पदार्थों को शामिल करने का प्रयास करें। 4. अपने भोजन में अधिक फाइबर शामिल करेंः फाइबर आपको भरा हुआ और संतुष्ट महसूस करने में मदद कर सकता है, और पाचन में भी मदद कर सकता है। अपने भोजन में साबुत अनाज जैसे साबुत गेहूं, नाम-1 और साबुत अनाज वाली रोटी, और फलियां जैसे दाल, चना और काली बीन्स को शामिल करने का प्रयास करें। 5. अपने भोजन में अधिक स्वस्थ वसा शामिल करेंः स्वस्थ वसा आपके शरीर को हार्मोन को नियंत्रित करने और आपके मस्तिष्क और शरीर के ऊतकों के स्वास्थ्य का समर्थन करने में मदद कर सकता है। अपने भोजन में एवोकैडो, मेवे और बीज जैसे स्वस्थ वसाओं को शामिल करने का प्रयास करें। 6. अपने भोजन में अधिक प्रोटीन शामिल करेंः प्रोटीन आपके शरीर को ठीक होने और मरम्मत करने में मदद कर सकता है, और मांसपेशियों के विकास और ऊतकों के स्वास्थ्य का समर्थन कर सकता है। अपने भोजन में मछली, मुर्गी और बीन्स",1,1,1,2,2,0,2,1,1
hindi|a7aa437f-f7fe-4872-825e-0fafaa2b9fc9|meta-llama/Meta-Llama-3-70B-Instruct,hindi,a7aa437f-f7fe-4872-825e-0fafaa2b9fc9,meta-llama/Meta-Llama-3-70B-Instruct,culture,"मध्य प्रदेश, राजस्थान और उत्तर प्रदेश में व्यंजनों के विकास और इसके ऐतिहासिक, सांस्कृतिक और भौगोलिक प्रभावों के प्रतिबिंब पर चर्चा करें।","मध्य प्रदेश, राजस्थान और उत्तर प्रदेश में व्यंजनों का विकास इनके ऐतिहासिक, सांस्कृतिक और भौगोलिक प्रभावों से प्रभावित हुआ है। इन राज्यों में मुगल, राजपूत और ब्रिटिश शासन का प्रभाव देखा जा सकता है, जिसका परिणाम इनके व्यंजनों में दिखता है।

मध्य प्रदेश में भोपाल के नवाबों के शासन का प्रभाव देखा जा सकता है, जिसके कारण यहां के व्यंजनों में मुगलई और अफगानी स्वाद का मिश्रण दिखता है। राजस्थान में राजपूतों के शासन का प्रभाव देखा जा सकता है, जिसके कारण यहां के व्यंजनों में मसालेदार और तीखे स्वाद का प्रयोग अधिक होता है। उत्तर प्रदेश में मुगल और अवधी संस्कृति का प्रभाव देखा जा सकता है, जिसके कारण यहां के व्यंजनों में नान, कुलचा और कबाब का प्रयोग अधिक होता है।

इन राज्यों के भौगोलिक स्थान का भी इनके व्यंजनों पर प्रभाव पड़ता है। मध्य प्रदेश में निमाड़ क्षेत्र के व्यंजनों में मछली और चावल का प्रयोग अधिक होता है, जबकि राजस्थान में मरुस्थलीय क्षेत्र के व्यंजनों में बाजरे और ज्वार का प्रयोग अधिक होता है। उत्तर प्रदेश में गंगा और यमुना नदियों के किनारे के व्यंजनों में मछली और चावल का प्रयोग अधिक होता है।

इन सभी प्रभावों के कारण मध्य प्रदेश, राजस्थान और उत्तर प्रदेश में व्यंजनों की एक अनोखी शैली देखने को मिलती है, जिसमें सांस्कृतिक, ऐतिहासिक और भौगोलिक प्रभावों का मिश्रण दिखता है।",2,2,0,2,2,0,2,1,1
hindi|2ed1fef0-4ab9-4c3f-b378-dfd4bc1e02bf|google/gemma-7b-it,hindi,2ed1fef0-4ab9-4c3f-b378-dfd4bc1e02bf,google/gemma-7b-it,culture,हिंदुस्तानी शास्त्रीय संगीत में मियां तानसेन का योगदान बहुत बड़ा है और आज भी संगीतकारों को प्रभावित करता है। तानसेन के संगीत योगदान ने व्यापक सांस्कृतिक गतिशीलता को कैसे प्रभावित किया?,"हमें पता है कि हिंदुस्तानी शास्त्रीय संगीत में मियां तानसेन का योगदान बहुत बड़ा है और आज भी संगीतकारों को प्रभावित करता है। तानसेन के संगीत योगदान ने व्यापक सांस्कृतिक गतिशीलता को कई तरीकों से प्रभावित किया था।

* **संगीत के रेंगना:** तानसेन के सबसे बड़े योगदान में एक है रेंगना। तानसेन के रेंगनाओं में गायब रेंगनाओं के लिए कई उदाहरण मिलते हैं।
* **संगीत के लिए एक नई शैली:** तानसेन के संगीत योगदान में एक और बड़ा योगदान है कि वह संगीत के लिए एक नई शैली लाया था।
* **संगीत के शिक्षण:** तानसेन के संगीत योगदान में एक और महत्वपूर्ण योगदान है कि वह संगीत के शिक्षण को आसान बनाया था।

कुल मिलाकर, तानसेन के संगीत योगदान का प्रभाव बहुत बड़ा रहा है और आज भी संगीतकारों को प्रभावित करता है।",0,0,1,2,1,1,2,1,1
